UUID,Title,Author,Language,Description,AI Result,Call to Action with Gemini_fewshot_v3
6cd675d8-f3f6-425b-96e4-d78e64c7b69f,Zheng he she hui fu li zheng ce yu she hui gong zuo shi wu = Integrating social welfare poliey & social work practice / Kathleen McInnis-Dittrichyuan zhu ;  hu hui ying deng yi. 整合社会福利政策与社会工作实务 = Integrating social welfare poliey & social work practice / Kathleen McInnis-Dittrich原著 ;  胡慧莹等译. ,"McInnis-Dittrich, Kathleen, 1951-",chieng|English,,"Bridge the gap between policy and practice! Explore the powerful intersection of social welfare and social work in ""Integrating Social Welfare Policy & Social Work Practice"". 
","Bridge the gap between social welfare policy and practice – explore how they intersect and impact our world in Integrating Social Welfare Policy & Social Work Practice.
"
e2bf21b0-6753-4386-b256-486fe1e24b83,Shanghai zen mo dai a? / Mi Lan zhu ; Addy cha hua. 上海怎么待啊? / 米兰著 ; Addy插画. ,"Mi, Lan.|米兰.",Chinese,,"**Craving adventure? Discover how to navigate the vibrant chaos of Shanghai in 米兰's captivating tale.  ** 
","上海生存指南？米兰带你解锁魔都的正确打开方式！
"
db673abe-7766-4ff2-94ea-0f0b89a94df2,Buying and selling real estate by owner / by Everett L. Gracey. ,"Gracey, Everett L.",English,,"**Ditch the realtor fees!** Learn the secrets of buying & selling real estate yourself with Everett Gracey's expert guide. 
","Become your own real estate mogul ditch the agent and discover the secrets to buying and selling property like a pro.
"
b62b3990-4cd4-423e-88b9-e29bdc249401,The family secret : an anthology / edited by Jay David ; foreword by Migs Woodside. ,,English,,"Uncover *The Family Secret* in this gripping anthology. What will you risk to expose the truth? 
","Uncover the mysteries hidden within The Family Secret anthology – every story holds a truth waiting to be revealed. 
"
dab01592-3ca5-4ddd-9c7a-382e5f461dfd,"The Koreans : who they are, what they want, where their future lies / Michael Breen. ","Breen, Michael.",English,,"Unravel the mystery: **Who are the Koreans?** Discover their ambitions and future in this eye-opening read. 
","Unravel the enigma of Korea: its people, ambitions, and destiny await within these pages.
"
996a3ceb-d3e4-4b16-a458-67c58bb60f18,Who guards a prince / Reginald Hill. ,"Hill, Reginald, 1936-",English,,"Who protects a prince when assassins lurk in every shadow? Dive into Reginald Hill's thrilling mystery. 
","Who guards a prince? Uncover the mystery and intrigue in this gripping read by Reginald Hill.
"
161c9388-c6bd-4536-9c32-a866782c1589,"Re nao de gang kou / zuo zhe, Nuobeite Geluhe ; hui tu, He'ermute Kelasi ; yi zhe, Hou Suqin. 热闹的港口 / 作者, 诺贝特•戈卢赫 ; 绘图, 赫尔穆特•科拉斯 ; 译者, 侯素琴. ","Golluch, Norbert.|戈卢赫, 诺贝特.",Chinese,,"Dive into the bustling world of ""Re nao de gang kou,"" a vibrant Chinese novel about life, love, and adventure in a lively harbor town. 
","热闹的港口，等你来探索！
"
cb0f0d95-9f07-476d-932a-b4fa8570a038,"Jing dian zhong xiao gu shi / [wen zi bian ji, Lin Shuping ... [et al.]]. 经典忠孝故事 / [文字编辑, 林书屏 ... [et al.]]. ",,Chinese,,"**Journey through timeless tales of loyalty and filial piety in *Jing dian zhong xiao gu shi* - classic stories that still resonate today.** 
","经典故事，忠孝传承，等你来品读！
"
3c38e061-3b6e-4d33-a61d-7449a0aa591b,Perilaku politik elit Muhammadiyah / Haedar Nashir. ,"Nashir, Haedar.",Indonesian,"Political behavior of the elite of Muhamadiyah, an Indonesian Islamic organization; research in Pekajangan, Kabupaten Pekalongan, Central Java. ","Dive into the fascinating world of Indonesian politics with ""Perilaku politik elit Muhammadiyah""! 
","Selami dinamika politik elit Muhammadiyah di Pekalongan dan temukan pengaruhnya dalam Perilaku Politik Elit Muhammadiyah karya Haedar Nashir.
"
f1da0e39-76e8-42e0-9444-7af4fd774ce3,The limits of tradition : peasants and land conflicts in Indonesia / Urano Mariko. ,"Urano, Mariko.",English,,"**Indonesian peasants fight for their land. Discover the limits of tradition in this gripping account.** 
","Uncover the struggles and resilience of Indonesian peasants as they challenge the limits of tradition in land conflicts.
"
83363b72-18c0-46fa-a620-b75e24d596af,"Secrets of the superyoung : the scientific reasons some people look ten years younger than they really are--and how you can, too / David Weeks and Jamie James. ","Weeks, David Joseph, 1944-",English,,"Unlock the secrets to looking 10 years younger! This book reveals the science behind youthful aging. 
","Unlock the secrets to youthful looks and defy your age – discover how to look ten years younger with Secrets of the Superyoung.
"
f5ab902a-67c6-4b60-9ac5-e265d2ab9fc7,Babalian / Rosnani Sablee. ,Rosnani Sablee.,Malay,,"Dive into the world of ""Babalian"" by Rosnani Sablee, a captivating Malay story waiting to be explored. 
","Terokai dunia Babalian bersama Rosnani Sablee.
"
b0e00150-d5fb-4077-a4f4-1586f42f534b,"Managing or removing the career break : a report of a workshop held on 2nd December 1981 at the Westmoreland Hotel London / edited by Margery Povall, Joan Hastings. ",,English,,"**Career break holding you back? Discover how to manage or ditch it! (1981)** 
","Conquer the career gap and relaunch your future – explore the insights from this 1981 London workshop.
"
1a91a4d5-1156-413e-ab81-7a14e68a3b23,shen jia hua yuan zhi mi / Wei bin hai zhu ; [dai xiao ming cha tu]. 沈家花园之迷 / 魏滨海著 ; [戴晓明插图]. ,"Wei, Bin Hai.|魏滨海.",Chinese,,"Unravel the mystery of the Shen family garden in this captivating Chinese novel. 
","揭开沈家花园的神秘面纱，魏滨海带你走进一个充满悬念的迷人故事。
"
1fcdb771-8688-449e-912f-82a7cfffddc0,Daggers and bayonets : a history / by Logan Thompson. ,"Thompson, Logan.",English,,"Uncover the deadly history hidden beneath the glint of daggers and bayonets. 
","Plunge into the thrilling history of daggers and bayonets with Logan Thompson's gripping exploration.
"
baa0464b-52a2-4aff-914b-aacfbec4498c,"Readings in business environment / edited by S.D. Sharma, Peter Rebello. ",,English,,"**Dive into the world of business with ""Readings in Business Environment"" - your guide to success!** 
","Decode the world of business with Readings in Business Environment – your essential guide to navigating the modern market.
"
a0f6f855-fd95-4681-9f68-a6f723a43aef,Dong wu / [Hejia bian zhu]. 动物 / [禾稼编著]. ,Hejia.|禾稼.,Chinese,,"Dive into the fascinating world of fauna with ""Dongwu,"" a captivating Chinese read exploring the wonders of the animal kingdom. 
","探索动物世界奥秘，开启一段奇妙之旅！（Explore the mysteries of the animal world and embark on a fantastic journey!）
"
e9980c5c-380f-489f-8f32-60d0c228f6de,Introduction to linear algebra [by] Franz E. Hohn. Under the editorship of Carl B. Allendoerfer. ,"Hohn, Franz Edward, 1915-1977.",English,,"Unlock the power of matrices and equations with ""Introduction to Linear Algebra"" by Franz E. Hohn. 
","Conquer the world of matrices and vectors: dive into the essential foundations of linear algebra.
"
2103d997-dd95-4199-8989-2f7fe74e736a,"Food Act, 1983 (Act 281) & Food Regulations, 1985 : (as at 15th December 1990) / compiled by Legal Research Board. ",Malaysia.,English,,"**Unpack the mysteries of Malaysia's food laws! Dive into the Food Act of 1983 & its regulations (as of 1990).** 
","Uncover the blueprint of Malaysia's food laws and regulations with the Food Act and Regulations (1983/1985) – essential reading for future food industry innovators.
"
51fb50ce-8ba2-49a8-b767-9d5abe0057c2,He de du bai / Cheng jun shi xuan. 河的独白 / 成君诗选. ,"Cheng, Jun, 1951-|成君, 1951-",Chinese,,"Dive into the lyrical world of ""He de du bai,"" a captivating selection of Chinese poetry by renowned author Cheng Jun, exploring themes of life, love, and the human experience. 
","感受成君的诗意世界，聆听《河的独白》，探索内心深处的共鸣。
"
376fc65d-93d2-4beb-86da-0c5657e57beb,Clash of civilizations over an elevator in Piazza Vittorio / Amara Lakhous ; translated from the Italian by Ann Goldstein. ,"Lakhous, Amara, 1970-",English|Italian,,"Cultures clash in a hilarious whodunnit set in a Roman apartment building. 
","Experience a culture clash like no other in Piazza Vittorio – one elevator, countless stories, and a whole lot of laughs. (Clash of civilizations over an elevator in Piazza Vittorio)
"
e14e4620-5c60-4ba4-b7ef-74902ca84e4f,Colleges with programs for students with learning disabilities or attention deficit disorders. ,,English,,"**Find the perfect college that supports your learning style and helps you thrive!** 
","Chart your future: Discover colleges that empower students with learning disabilities and ADHD to thrive.
"
e7fd99d5-1a87-4264-a9e5-0ae70bb7572d,"[Table showing real property in Singapore, 1821]. ",,English,,"**Uncover Singapore's 1821 real estate secrets!** 🏠🗝️  
","Uncover a piece of Singapore's past: explore its 1821 real estate landscape in [Table showing real property in Singapore, 1821].
"
d5b8cfe1-57b2-4411-ad20-72e031618fd3,Lines of flight : a novel / Marion Campbell. ,"Campbell, Marion.",English,,"Escape the ordinary.  ""Lines of Flight"" by Marion Campbell: your next literary adventure awaits. 
","Soar beyond the ordinary with Lines of Flight and discover a novel journey.
"
d30cb566-41c6-49a0-8990-a6c01d6a229b,Tests of total factor productivity measurement / by A. Steven Englander. ,"Englander, A. Steven.",English,,"**Want to understand how productivity is truly measured? Dive into ""Tests of Total Factor Productivity Measurement"" for eye-opening insights.** 
","Dive into the intricacies of economic measurement with A Steven Englander's Tests of total factor productivity measurement.
"
521364d0-523f-4368-8fef-0eceb7951103,"Xi yang ren sheng yu xing : Yu lao nian peng you tan xing jian kang / Zhu bian, long ling. 夕阳人生与性 : 与老年朋友谈性健康 / 主编, 龙菱. ",,Chinese,,"**Discover a new chapter in life's journey. ""Sunset Years and Sexuality"" explores health and intimacy for seniors. ** 
","夕阳无限好，性与健康亦重要，翻开此书，与老年朋友共探健康人生。
"
192d662d-abce-4b12-bc8f-a24a4581b6f2,"Globalization, technology, and competition : the fusion of computers and telecommunications in the 1990s / edited by Stephen P. Bradley, Jerry A. Hausman, Richard L. Nolan. ",,English,,"**How did computers & telecoms transform the 90s? This book reveals the tech fusion that shaped our world.** 
","Tech, globalization, and the future collide: Dive into the 90s digital revolution and see how it shaped our world.
"
8853579c-1d64-43d7-9f4d-357a1a90dcbc,The book of skulls / Robert Silverberg. ,"Silverberg, Robert.",English,,"**Robert Silverberg's *The Book of Skulls*: Unravel the secrets, confront your mortality.** 
","Uncover the secrets hidden within The Book of Skulls – a thrilling read you won't want to miss.
"
cbf2aded-fb73-4060-8bf8-fbe0e34478b5,Nelson Mandela : father of freedom / Hakim Adi. ,"Adi, Hakim.",English,,"Discover the powerful legacy of Nelson Mandela, a true ""father of freedom,"" in this captivating biography. 
","Discover the inspiring journey of Nelson Mandela, father of freedom, in this powerful biography.
"
819e5a38-26ce-4036-a0d9-9d0b807965bd,"The collector's guide to classic cameras, 1945-1985 / John Wade. ","Wade, John, 1945-",English,,"**Snag your copy:**  Vintage camera buff? ""The Collector's Guide to Classic Cameras"" is your treasure map to 1945-1985's coolest gear. 
","Develop your vintage eye: Explore the fascinating world of classic cameras from 1945-1985 with John Wade's collector's guide.
"
e06b0711-113e-49c6-98e7-86c13a7ffd42,Hou hei jiao zhu Du Yuesheng / Sima Lieren zhu. 厚黑教主杜月笙 / 司马烈人著. ,Sima Lieren.|司马烈人.,Chinese,,"Uncover the secrets of Du Yuesheng, Shanghai's infamous kingpin, in this captivating biography. 
","揭秘杜月笙的厚黑之道，司马烈人带你走进上海滩风云变幻的传奇！
"
213bc947-d76b-465a-8e13-c135a28756af,"Tang guo wu / yuan zhu, Gelin xiong di ; yi xie, Yi Ran ; hui hua, Zhou Xue. 糖果屋 / 原著, 格林兄弟 ; 译写, 漪然 ; 绘画, 周雪. ","Yi, Ran.|漪然.",Chinese,,"Reimagine the classic Grimm tale! ""Candy House"" offers a fresh, Chinese perspective on a beloved story. 
","迷失糖果屋，你会找到回家的路吗？(Can you find your way home if you get lost in the candy house?)
"
0e4fdb3d-437e-4260-80c9-7b5f500d1e34,Jackie Chan / by Amy Stone. ,"Stone, Amy, 1947-",English,"For decades, stunt master Jackie Chan has brought humor as well as skill to martial arts movies. He delights audiences with his death-defying stunts and abilities as an actor and director. His movies include Shanghai Noon, Rush Hour, and New Police Story. Winner of many awards, Jackie Chan has his star in the Hollywood Walk of Fame. His work continues to thrill action-movie fans around the world. ","Jackie Chan: Master of stunts, king of laughs. Dive into the life of a legend. 
","Jackie Chan: Dive into the high-octane world of martial arts, comedy, and breathtaking stunts – a legend's journey awaits.
"
b118ff06-e5fe-4d23-9178-700c84bb5a08,Game of thrones [sound recording] / George R. R. Martin. ,"Martin, George R. R.",English,"Long ago, an enigmatic event forever changed the seasons in Winterfell. Thus the land was blessed with lush summers and simultaneously cursed with harsh winters. Now, Winterfell's borders are being increasingly encroached, forcing the prominent Stark family to defend its kingdom from enemies both old and new, including the rival Lannister House and a legendary demon. ","Winter is coming... and so is a battle for survival. Dive into the epic fantasy of Game of Thrones! 
","Winter is coming, and so is war. Immerse yourself in the epic power struggles and chilling mysteries of Game of Thrones.
"
b7c8b7c1-8ba0-4a00-bbea-04b27aa2d603,Times giant book of 4000 words. ,,English,,"Expand your vocabulary and conquer the English language with the *Times Giant Book of 4000 Words*. 
","Unlock a world of language: conquer 4000 words with the Times giant book of 4000 words.
"
e2ba3360-0837-4aba-a6c0-1a90490bab0f,Flash house / Aimee Liu. ,"Liu, Aimee E.",English,,"**Intrigue:**

* **Secrets and lies built a dream home. Now, it's about to crumble.** 

Let me know if you'd like me to try a different approach! 
","Experience the electrifying pulse of Flash House.
"
28aa8c88-833b-4c9f-8fa4-670895666a2f,"Drawing on the right side of the brain : a course in enhancing creativity and artistic confidence / Betty Edwards ; [instructional drawings, Betty Edwards, cover drawing, John Boomer]. ","Edwards, Betty.",English,,"Unlock your inner artist and boost your creativity with ""Drawing on the Right Side of the Brain."" 
","Unleash your inner artist and boost your creative confidence with Drawing on the Right Side of the Brain.
"
84b0fef6-0d2c-441d-8c10-f8ff2aac74ca,"Market research : a guide to planning, methodology & evaluation / Paul Hague. ","Hague, Paul N.",English,,"**Master the art of market research – plan, strategize, and win!** 
","Unlock the secrets of market research and learn how to plan, execute, and evaluate successful strategies with Paul Hague's essential guide.
"
88bd3084-d5e7-45f7-9988-f5e383fcfa0d,Victorian needlepoint / Beth Russell ; special photography by John Greenwood. ,"Russell, Beth.",English,,"**Stitch up some Victorian vibes!**  Explore gorgeous needlepoint designs with stunning photography. 
","Unravel the artistry of Victorian needlepoint with Beth Russell's exquisite guide and stunning photography by John Greenwood.
"
07f98e33-67d2-4738-a3e8-eaf09a86c4c7,An American architecture. Edited by Edgar Kaufmann. ,"Wright, Frank Lloyd, 1867-1959.",English,,"**Discover Frank Lloyd Wright's vision for an ""American Architecture"" - a timeless classic.** 
","Dive into An American Architecture by Frank Lloyd Wright and explore the visionary designs that shaped modern America.
"
bfbf1e2d-1fc9-4791-9882-52f73d6ec045,Muntwezen en circulatie-banken in Nederlandsch-Indièe. ,"Vissering, Gernard, 1865-1937.",duteng,,"Dive into the fascinating history of Dutch Indies' currency and banking with ""Muntwezen en circulatie-banken""! 
","Duik in de Nederlandse koloniale geschiedenis met 'Muntwezen en circulatie-banken in Nederlandsch-Indië' en ontdek het financiële systeem van toen.
"
64d9b005-8f8f-4846-9255-9fe5bb77f201,"Mortality, expectation of life / J.H. Pollard. ","Pollard, J. H. (John Hurlstone), 1942-",English,,"Dive into the intriguing world of life expectancy with J.H. Pollard's ""Mortality, Expectation of Life."" 
","Explore life's biggest question: how long do we have and what will we do with it? Borrow Mortality, expectation of life today.
"
322998a4-5ac2-4f36-928a-4770e096e4a2,The life of Dylan Thomas / Constantine Fitz Gibbon. ,"Fitz Gibbon, Constantine.",English,,"Dive into the chaotic brilliance of Dylan Thomas's life. A must-read for poetry lovers and rebels alike. 
","Dive into the turbulent life of poet Dylan Thomas with Constantine Fitz Gibbon's captivating biography.
"
2fef487f-5e13-4dc0-bada-c0e4674c3960,Fresh Italian / Marina Filippelli. ,"Filippelli, Marina.",English,,"Craving Italy? 🇮🇹 **Fresh Italian** serves up vibrant recipes for a taste of la dolce vita. 🍝 
","Dive into Fresh Italian with Marina Filippelli and savor every delicious word.
"
dc034782-c3cd-4840-a477-92fe6d84c0a7,Sports ground management : a complete guide / Stewart Brown ; foreword by Alan Penn. ,"Brown, Stewart, 1964-",English,,"**Level up your sports field game!** This complete guide has all the secrets to top-notch grounds management. 
","Conquer the field of sports ground management with this complete guide – from kickoff to victory.
"
c7c9b7d8-62e4-4ae4-b895-9d351d92542e,You gou yu shi zui Xianggang / You gou yu shi bian xie zu bian zhu. 游购娱食最香港 / 游购娱食编写组编著. ,,Chinese,,"Discover the best of Hong Kong's shopping, dining, and entertainment - your ultimate guide awaits! 
","体验香港地道魅力，从游购娱食开始！
"
6c48a088-3d6f-4bc1-b917-1d9044d57bf8,The foundations of modern science in the middle ages / by Edward Grant. ,"Grant, Edward, 1943-",English,The roots of modern science were planted in ancient & medieval world long before the Scientific Revolution of the 17th century. This shows it is not by chance that the modern science & modern university occurred simultaneously during the Middle Ages. ,"Discover how the Middle Ages *actually* sparked the Scientific Revolution – it wasn't all about the Dark Ages! 
","Uncover the medieval secrets that sparked modern science – it's not what you think.
"
dd208c8d-db5e-4782-b68a-13ccb881fcc2,"Prinsip-prinsip pemerintahan dalam masyarakat majmuk / penyunting, Abdul Munir Yaacob. ",,Malay,,"Uncover the principles of governing diverse societies in ""Prinsip-prinsip pemerintahan dalam masyarakat majmuk"" – borrow it now! 
","Terokai prinsip pemerintahan dalam masyarakat majmuk bersama Abdul Munir Yaacob dalam buku penting ini.
"
2a0c657f-105d-468b-af0c-b3e0d8ac8077,Pitching; the basic fundamentals and mechanics of successful pitching. ,"Shaw, Bob, 1933-",English,"Explains the delivery of different kinds of pitches, techniques of teaching pitching, pitching strategy, the execution of pick-off plays and fielding duties of the pitcher, and his mental and physical conditioning. ","Master the mound: Learn the secrets of successful pitching from delivery to strategy.  
","Master the mound: Unleash your inner ace with the ultimate guide to pitching power and strategy.
"
b4a37191-c6f5-4bfd-a932-9eef81b28706,"Yandang Shan = Yandang Mountain / [zhu bian, Zhang Guoqian, Zhang Huawu ; she ying, Zhang Houquan deng]. 雁荡山 = Yandang Mountain / [主编, 张国谦, 张华吾 ; 摄影, 张侯权等]. ",,Chinese|English,,"**Explore the breathtaking beauty of China's Yandang Mountain through stunning photography and bilingual descriptions.  ** 
","Explore the breathtaking beauty of Yandang Mountain through stunning photography and bilingual descriptions – a journey for the eyes and mind.
"
51cf2dde-73b6-4ca5-8a0e-6ca866829054,Problems of literary evaluation / edited by Joseph Strelka. ,,English,,"**Dive into the fascinating world of literary criticism with ""Problems of Literary Evaluation."" What makes a book *really* good?** 
","Dive into the fascinating world of literary criticism and explore the Problems of Literary Evaluation.
"
962df991-d5e1-4ad6-8280-636659dcb24e,Language and nationalism : two integrative essays / [by] Joshua A. Fishman. ,"Fishman, Joshua A.",English,,"**Explore the powerful link between language and national identity in this thought-provoking read.** 
","Explore the fascinating link between language and national identity in Fishman's thought-provoking essays.
"
155a8873-e934-4dd7-a111-7b7bb7550c12,Republic of Tajikistan : transport sector master plan (financed by the Japan Special Fund) ,,English,,"**Tajikistan's transport future revealed! Explore the master plan shaping roads, railways & more.** 
","Tajikistan's transport future is in your hands – explore its master plan and journey into the heart of Central Asian development.
"
c12717b0-5719-4d71-8455-6e802ee8a12d,"Criticism and ideology : second African Writers' Conference, Stockholm, 1986 / edited by Kirsten Holst Petersen ; with an introductory essay by Per Wèastberg. ","African Writers' Conference (2nd : 1986 : Stockholm, Sweden)",English,,"Dive into the heart of African literature and explore the power of criticism and ideology at the 1986 Stockholm Writers' Conference. 
","Dive into critical discussions on ideology and literature from the groundbreaking Second African Writers' Conference.
"
0a379670-61bf-40f2-a820-eaf93bd38ab8,"Power revolution in the industrialization of Japan, 1885-1940 / by Ryoshin Minami. ","Minami, Ryōshin, 1933-",English,,"Uncover the energy that fueled Japan's rise! Explore the ""Power Revolution"" from 1885-1940. 
","Uncover the electrifying story of Japan's industrial rise from 1885-1940 in Power Revolution.
"
995f89fe-7d77-424e-a164-b8befd58cd87,"Transformational leadership / Bernard M. Bass, Ronald E. Riggio. ","Bass, Bernard M.",English,,"Want to become a truly inspiring leader? Dive into ""Transformational Leadership"" by Bass & Riggio. 
","Unleash your leadership potential: dive into Transformational Leadership and discover how to inspire and achieve greatness.
"
ee09c778-b393-4b0c-aa80-15b645776c81,The third wave / Alvin Toffler. ,"Toffler, Alvin, 1928-",English,,"**Dive into ""The Third Wave"" by Alvin Toffler and ride the currents shaping our future.** 
","Ride the crest of change with The Third Wave and explore the future of society.
"
96364f42-1ac6-4a8d-ab4b-f68c325c2ffe,Nan zhuang nü die : yi ge zhen shi de Chuandao Fangzi / You Zi bian zhu. 男装女谍 : 一个真实的川岛芳子 / 友子编著. ,"You, Zi.|友子.",Chinese,,"Unmask the true story of Kawashima Yoshiko, the cross-dressing spy who captivated a nation. 
","揭开川岛芳子神秘面纱，一个女谍的真实故事等你探索！
"
ae150189-efd7-4f20-a1c5-f5f6b29c9c9c,An̲puṭan̲ kātali / Intirā Cauntarrājan̲. அன்புடன் காதலி / இந்திரா சௌந்தர்ராஜன். ,Intirā Cauntarrājan̲.|இந்திரா சௌந்தர்ராஜன்.,Tamil,,"Dive into a world of Tamil romance with ""Anputan Katali"" - where love blossoms unexpectedly. 
","அன்புடன் காதலி -  உணர்வுகளின் உலகில் ஒரு பயணம்.
"
2d159d47-6857-4134-97fa-9e67342dc4c7,Effigy / Alissa York. ,"York, Alissa.",English,,"**Uncover the mystery behind the effigy. Alissa York's gripping novel will keep you guessing.** 
","Unravel the mystery behind Effigy – a captivating read waiting to be discovered.
"
baf37bc6-4991-4620-bb01-c8748b56c97c,Thailand travel manual. ,,English,,"Escape to Thailand! Your ultimate adventure starts with this travel manual. 🌴 
","Unleash your inner explorer and discover the magic of Thailand with this essential travel companion.
"
