UUID,Title,Author,Language,Description,AI Result
d5b8cfe1-57b2-4411-ad20-72e031618fd3,Lines of flight : a novel / Marion Campbell. ,"Campbell, Marion.",English,,"Escape the ordinary.  ""Lines of Flight"" by Marion Campbell: your next literary adventure awaits. 
"
d30cb566-41c6-49a0-8990-a6c01d6a229b,Tests of total factor productivity measurement / by A. Steven Englander. ,"Englander, A. Steven.",English,,"**Want to understand how productivity is truly measured? Dive into ""Tests of Total Factor Productivity Measurement"" for eye-opening insights.** 
"
521364d0-523f-4368-8fef-0eceb7951103,"Xi yang ren sheng yu xing : Yu lao nian peng you tan xing jian kang / Zhu bian, long ling. 夕阳人生与性 : 与老年朋友谈性健康 / 主编, 龙菱. ",,Chinese,,"**Discover a new chapter in life's journey. ""Sunset Years and Sexuality"" explores health and intimacy for seniors. ** 
"
192d662d-abce-4b12-bc8f-a24a4581b6f2,"Globalization, technology, and competition : the fusion of computers and telecommunications in the 1990s / edited by Stephen P. Bradley, Jerry A. Hausman, Richard L. Nolan. ",,English,,"**How did computers & telecoms transform the 90s? This book reveals the tech fusion that shaped our world.** 
"
8853579c-1d64-43d7-9f4d-357a1a90dcbc,The book of skulls / Robert Silverberg. ,"Silverberg, Robert.",English,,"**Robert Silverberg's *The Book of Skulls*: Unravel the secrets, confront your mortality.** 
"
cbf2aded-fb73-4060-8bf8-fbe0e34478b5,Nelson Mandela : father of freedom / Hakim Adi. ,"Adi, Hakim.",English,,"Discover the powerful legacy of Nelson Mandela, a true ""father of freedom,"" in this captivating biography. 
"
819e5a38-26ce-4036-a0d9-9d0b807965bd,"The collector's guide to classic cameras, 1945-1985 / John Wade. ","Wade, John, 1945-",English,,"**Snag your copy:**  Vintage camera buff? ""The Collector's Guide to Classic Cameras"" is your treasure map to 1945-1985's coolest gear. 
"
e06b0711-113e-49c6-98e7-86c13a7ffd42,Hou hei jiao zhu Du Yuesheng / Sima Lieren zhu. 厚黑教主杜月笙 / 司马烈人著. ,Sima Lieren.|司马烈人.,Chinese,,"Uncover the secrets of Du Yuesheng, Shanghai's infamous kingpin, in this captivating biography. 
"
213bc947-d76b-465a-8e13-c135a28756af,"Tang guo wu / yuan zhu, Gelin xiong di ; yi xie, Yi Ran ; hui hua, Zhou Xue. 糖果屋 / 原著, 格林兄弟 ; 译写, 漪然 ; 绘画, 周雪. ","Yi, Ran.|漪然.",Chinese,,"Reimagine the classic Grimm tale! ""Candy House"" offers a fresh, Chinese perspective on a beloved story. 
"
0e4fdb3d-437e-4260-80c9-7b5f500d1e34,Jackie Chan / by Amy Stone. ,"Stone, Amy, 1947-",English,"For decades, stunt master Jackie Chan has brought humor as well as skill to martial arts movies. He delights audiences with his death-defying stunts and abilities as an actor and director. His movies include Shanghai Noon, Rush Hour, and New Police Story. Winner of many awards, Jackie Chan has his star in the Hollywood Walk of Fame. His work continues to thrill action-movie fans around the world. ","Jackie Chan: Master of stunts, king of laughs. Dive into the life of a legend. 
"
b118ff06-e5fe-4d23-9178-700c84bb5a08,Game of thrones [sound recording] / George R. R. Martin. ,"Martin, George R. R.",English,"Long ago, an enigmatic event forever changed the seasons in Winterfell. Thus the land was blessed with lush summers and simultaneously cursed with harsh winters. Now, Winterfell's borders are being increasingly encroached, forcing the prominent Stark family to defend its kingdom from enemies both old and new, including the rival Lannister House and a legendary demon. ","Winter is coming... and so is a battle for survival. Dive into the epic fantasy of Game of Thrones! 
"
b7c8b7c1-8ba0-4a00-bbea-04b27aa2d603,Times giant book of 4000 words. ,,English,,"Expand your vocabulary and conquer the English language with the *Times Giant Book of 4000 Words*. 
"
e2ba3360-0837-4aba-a6c0-1a90490bab0f,Flash house / Aimee Liu. ,"Liu, Aimee E.",English,,"**Intrigue:**

* **Secrets and lies built a dream home. Now, it's about to crumble.** 

Let me know if you'd like me to try a different approach! 
"
28aa8c88-833b-4c9f-8fa4-670895666a2f,"Drawing on the right side of the brain : a course in enhancing creativity and artistic confidence / Betty Edwards ; [instructional drawings, Betty Edwards, cover drawing, John Boomer]. ","Edwards, Betty.",English,,"Unlock your inner artist and boost your creativity with ""Drawing on the Right Side of the Brain."" 
"
84b0fef6-0d2c-441d-8c10-f8ff2aac74ca,"Market research : a guide to planning, methodology & evaluation / Paul Hague. ","Hague, Paul N.",English,,"**Master the art of market research – plan, strategize, and win!** 
"
88bd3084-d5e7-45f7-9988-f5e383fcfa0d,Victorian needlepoint / Beth Russell ; special photography by John Greenwood. ,"Russell, Beth.",English,,"**Stitch up some Victorian vibes!**  Explore gorgeous needlepoint designs with stunning photography. 
"
07f98e33-67d2-4738-a3e8-eaf09a86c4c7,An American architecture. Edited by Edgar Kaufmann. ,"Wright, Frank Lloyd, 1867-1959.",English,,"**Discover Frank Lloyd Wright's vision for an ""American Architecture"" - a timeless classic.** 
"
bfbf1e2d-1fc9-4791-9882-52f73d6ec045,Muntwezen en circulatie-banken in Nederlandsch-Indièe. ,"Vissering, Gernard, 1865-1937.",duteng,,"Dive into the fascinating history of Dutch Indies' currency and banking with ""Muntwezen en circulatie-banken""! 
"
64d9b005-8f8f-4846-9255-9fe5bb77f201,"Mortality, expectation of life / J.H. Pollard. ","Pollard, J. H. (John Hurlstone), 1942-",English,,"Dive into the intriguing world of life expectancy with J.H. Pollard's ""Mortality, Expectation of Life."" 
"
322998a4-5ac2-4f36-928a-4770e096e4a2,The life of Dylan Thomas / Constantine Fitz Gibbon. ,"Fitz Gibbon, Constantine.",English,,"Dive into the chaotic brilliance of Dylan Thomas's life. A must-read for poetry lovers and rebels alike. 
"
2fef487f-5e13-4dc0-bada-c0e4674c3960,Fresh Italian / Marina Filippelli. ,"Filippelli, Marina.",English,,"Craving Italy? 🇮🇹 **Fresh Italian** serves up vibrant recipes for a taste of la dolce vita. 🍝 
"
dc034782-c3cd-4840-a477-92fe6d84c0a7,Sports ground management : a complete guide / Stewart Brown ; foreword by Alan Penn. ,"Brown, Stewart, 1964-",English,,"**Level up your sports field game!** This complete guide has all the secrets to top-notch grounds management. 
"
c7c9b7d8-62e4-4ae4-b895-9d351d92542e,You gou yu shi zui Xianggang / You gou yu shi bian xie zu bian zhu. 游购娱食最香港 / 游购娱食编写组编著. ,,Chinese,,"Discover the best of Hong Kong's shopping, dining, and entertainment - your ultimate guide awaits! 
"
6c48a088-3d6f-4bc1-b917-1d9044d57bf8,The foundations of modern science in the middle ages / by Edward Grant. ,"Grant, Edward, 1943-",English,The roots of modern science were planted in ancient & medieval world long before the Scientific Revolution of the 17th century. This shows it is not by chance that the modern science & modern university occurred simultaneously during the Middle Ages. ,"Discover how the Middle Ages *actually* sparked the Scientific Revolution – it wasn't all about the Dark Ages! 
"
dd208c8d-db5e-4782-b68a-13ccb881fcc2,"Prinsip-prinsip pemerintahan dalam masyarakat majmuk / penyunting, Abdul Munir Yaacob. ",,Malay,,"Uncover the principles of governing diverse societies in ""Prinsip-prinsip pemerintahan dalam masyarakat majmuk"" – borrow it now! 
"
2a0c657f-105d-468b-af0c-b3e0d8ac8077,Pitching; the basic fundamentals and mechanics of successful pitching. ,"Shaw, Bob, 1933-",English,"Explains the delivery of different kinds of pitches, techniques of teaching pitching, pitching strategy, the execution of pick-off plays and fielding duties of the pitcher, and his mental and physical conditioning. ","Master the mound: Learn the secrets of successful pitching from delivery to strategy.  
"
b4a37191-c6f5-4bfd-a932-9eef81b28706,"Yandang Shan = Yandang Mountain / [zhu bian, Zhang Guoqian, Zhang Huawu ; she ying, Zhang Houquan deng]. 雁荡山 = Yandang Mountain / [主编, 张国谦, 张华吾 ; 摄影, 张侯权等]. ",,Chinese|English,,"**Explore the breathtaking beauty of China's Yandang Mountain through stunning photography and bilingual descriptions.  ** 
"
51cf2dde-73b6-4ca5-8a0e-6ca866829054,Problems of literary evaluation / edited by Joseph Strelka. ,,English,,"**Dive into the fascinating world of literary criticism with ""Problems of Literary Evaluation."" What makes a book *really* good?** 
"
962df991-d5e1-4ad6-8280-636659dcb24e,Language and nationalism : two integrative essays / [by] Joshua A. Fishman. ,"Fishman, Joshua A.",English,,"**Explore the powerful link between language and national identity in this thought-provoking read.** 
"
155a8873-e934-4dd7-a111-7b7bb7550c12,Republic of Tajikistan : transport sector master plan (financed by the Japan Special Fund) ,,English,,"**Tajikistan's transport future revealed! Explore the master plan shaping roads, railways & more.** 
"
c12717b0-5719-4d71-8455-6e802ee8a12d,"Criticism and ideology : second African Writers' Conference, Stockholm, 1986 / edited by Kirsten Holst Petersen ; with an introductory essay by Per Wèastberg. ","African Writers' Conference (2nd : 1986 : Stockholm, Sweden)",English,,"Dive into the heart of African literature and explore the power of criticism and ideology at the 1986 Stockholm Writers' Conference. 
"
0a379670-61bf-40f2-a820-eaf93bd38ab8,"Power revolution in the industrialization of Japan, 1885-1940 / by Ryoshin Minami. ","Minami, Ryōshin, 1933-",English,,"Uncover the energy that fueled Japan's rise! Explore the ""Power Revolution"" from 1885-1940. 
"
995f89fe-7d77-424e-a164-b8befd58cd87,"Transformational leadership / Bernard M. Bass, Ronald E. Riggio. ","Bass, Bernard M.",English,,"Want to become a truly inspiring leader? Dive into ""Transformational Leadership"" by Bass & Riggio. 
"
ee09c778-b393-4b0c-aa80-15b645776c81,The third wave / Alvin Toffler. ,"Toffler, Alvin, 1928-",English,,"**Dive into ""The Third Wave"" by Alvin Toffler and ride the currents shaping our future.** 
"
96364f42-1ac6-4a8d-ab4b-f68c325c2ffe,Nan zhuang nü die : yi ge zhen shi de Chuandao Fangzi / You Zi bian zhu. 男装女谍 : 一个真实的川岛芳子 / 友子编著. ,"You, Zi.|友子.",Chinese,,"Unmask the true story of Kawashima Yoshiko, the cross-dressing spy who captivated a nation. 
"
ae150189-efd7-4f20-a1c5-f5f6b29c9c9c,An̲puṭan̲ kātali / Intirā Cauntarrājan̲. அன்புடன் காதலி / இந்திரா சௌந்தர்ராஜன். ,Intirā Cauntarrājan̲.|இந்திரா சௌந்தர்ராஜன்.,Tamil,,"Dive into a world of Tamil romance with ""Anputan Katali"" - where love blossoms unexpectedly. 
"
2d159d47-6857-4134-97fa-9e67342dc4c7,Effigy / Alissa York. ,"York, Alissa.",English,,"**Uncover the mystery behind the effigy. Alissa York's gripping novel will keep you guessing.** 
"
baf37bc6-4991-4620-bb01-c8748b56c97c,Thailand travel manual. ,,English,,"Escape to Thailand! Your ultimate adventure starts with this travel manual. 🌴 
"
c00c7ed1-9b61-47ff-8324-742a4815e87e,Who's who in the Bible / Claire Llewellyn. ,"Llewellyn, Claire.",English,,"Unravel the mysteries and meet the legends. Discover **Who's Who in the Bible**. 
"
d8510561-5809-4456-bba4-50e61583be97,Information analysis and retrieval. ,"Kent, Allen.",English,,"**Unlock the secrets of finding anything. Dive into ""Information Analysis & Retrieval"" by Allen Kent.** 
"
b6638e80-a685-42d3-99a0-803ea98628fe,The island of Doctor Moreau / H.G. Wells. ,"Wells, H. G. (Herbert George), 1866-1946.",English,,"Dare to visit *The Island of Doctor Moreau*? H.G. Wells' classic will chill you to the bone. 
"
6640c5e6-c137-4546-858d-2c5fbaf69536,Puccini : his international art / Michele Girardi ; translated by Laura Basini. ,"Girardi, Michele.",English|Italian,,"**Uncover the global genius of Puccini's music. Dive into his international artistry.** 
"
3b31383a-02c2-41ab-b0dc-b3b43425380f,"Professional negligence / by A.M. Dugdale, K.M. Stanton ; assistant editor, J.E. Parkinson. ","Dugdale, Anthony M.",English,,"**Need the upper hand?** Dive into ""Professional Negligence"" and learn how to navigate those tricky legal waters. 
"
f89de6ef-122a-4f32-a570-c14e95d516af,"Secrets of Ayurveda / Gopi Warrier, Harish Verma, and Karen Sullivan. ","Warrier, Gopi.",English,,"**Unlock the ancient wisdom of Ayurveda and discover its secrets for a healthier, happier you. ** 
"
aaa3918e-f27b-4c59-bb7f-cab399cc09fa,A guide to A portrait of the artist as a young man / Iona McGregor with Tony Buzan. ,"McGregor, Iona.",English,,"Unlock the secrets of Joyce's masterpiece with ""A Guide to A Portrait of the Artist as a Young Man."" 
"
bfaa6ad4-dbc5-430b-a621-1316752de4c1,3-6 sui qin zi jiao xue you xi / Qu Mujie zhu bian. 3-6岁亲子教学游戏 / 区慕洁主编. ,,Chinese,,"Unlock your inner child! ""3-6 sui qin zi jiao xue you xi"" explores fun and educational games for bonding with little ones. 
"
025d64f5-bb4e-4e3b-b0f2-c3af59ab492c,Volcano! / Ellen J. Prager ; illustrated by Nancy Woodman. ,"Prager, Ellen J.",English,,"Erupt into the fiery world of volcanoes! Ellen J. Prager explores their explosive power and breathtaking beauty. 🌋 
"
6b886089-f5e6-4690-84e9-6c8b16f7fe4b,Misteri akibat dadah / Ramlan Salim. ,Ramlan Salim.,Malay,,"Unravel the dark secrets of addiction in ""Misteri Akibat Dadah"" by Ramlan Salim. 
"
d89645b4-92b5-40fc-9b11-93ff12912bc1,McGraw-Hill encyclopedia of world drama. ,,English,,"Unravel the dramatic tapestry of the world. Dive into the ""McGraw-Hill Encyclopedia of World Drama."" 
"
9de6fdf0-267b-441f-9eb7-d2adaccc7ab1,"National University of Singapore Public Policy Programme Conference : perspectives on public policy in the 21st century, 6-8 September 1999, Orchard Hotel : Session B [on] facing the technology challenges of the 21st century. ",National University of Singapore Public Policy Programme Conference (1999 : Singapore),English,,"Dive into the biggest tech challenges of the 21st century at the 1999 NUS Public Policy Conference - see how the future unfolded! 
"
4ae65a53-51da-49ba-a5b9-fec50a5ca60f,The book of dead birds : a novel / Gayle Brandeis. ,"Brandeis, Gayle.",English,,"**Secrets and dead birds collide in Gayle Brandeis's haunting novel, ""The Book of Dead Birds.""** 
"
4fbbbf57-f3b4-48c9-8185-ce9f6917c604,The poisonwood Bible / Barbara Kingsolver. ,"Kingsolver, Barbara.",English,,"**Journey to the heart of Africa in The Poisonwood Bible, a captivating tale of family and forgiveness.** 
"
d33e9c83-392f-44b0-b79f-9924cf87998f,Luann 3 : sixteen isn't pretty / by Greg Evans. ,"Evans, Greg, 1947-",English,,"Turning sixteen is tough... just ask Luann. Dive into the drama and laughs in ""Luann 3: Sixteen Isn't Pretty."" 
"
95423368-4685-4250-9e05-3b9969cc8b13,"Three Indian poets : Nissim Ezekiel, A.K. Ramanujan, Dom Moraes / Bruce King. ","King, Bruce Alvin.",English,,"Dive into the vibrant world of modern Indian poetry with ""Three Indian Poets,"" exploring the works of Ezekiel, Ramanujan, and Moraes. 
"
311e375a-9856-47bc-bf8c-87c8bd9b4e80,Living in the raw gourmet / Rose Lee Calabro. ,"Calabro, Rose Lee.",English,,"Craving delicious food that makes you feel amazing? **Go raw with gourmet recipes** from Rose Lee Calabro! 
"
a087d63a-6dbd-4d31-8285-9b79f8d4d7df,Zhong guo dian ying nian jian = China film yearbook / Zhong guo dian ying nian jian she bian zuan. 中国电影年鉴 = China film yearbook / 中国电影年鉴社编纂. ,,chieng,,"Dive into the world of Chinese cinema with the ""China Film Yearbook,"" your annual guide to the magic of movies! 
"
7c47d1ad-a518-487c-83d5-dcb7b7f25503,The big book of color in design / edited by David E. Carter. ,,English,,"**Unleash your inner artist!** Dive into ""The Big Book of Color in Design"" and master the art of color. 
"
22e523c4-dfcc-43f5-8f68-cfa00361e48b,[Calendar]. ,University of British Columbia. School of Librarianship.,English,,"Plan your next chapter! The UBC School of Librarianship presents [Calendar] - your guide to academic success. 
"
992eebef-9821-4eac-9eb6-f16477710cf2,"Encyclopedia of northwest music : from classical recordings to classic rock performances, your guide to the best of the region / James Bush. ","Bush, James, 1961-",English,,"**Rock out to classical vibes!** Discover the Northwest's best music, from recordings to live gigs, in this epic encyclopedia. 
"
c9eb6e0b-e153-42ea-aaa5-6e47fc8e5e68,The quark and the jaguar : adventures in the simple and the complex / Murray Gell-Mann. ,"Gell-Mann, Murray.",English,,"**Unravel the mysteries of the universe: from tiny quarks to the complex dance of life in ""The Quark and the Jaguar.""** 
"
8b2b37c2-9eba-4268-bbb9-1488615d5a00,Early child care in France / by Myriam David and Irène Lézine. ,"David, Myriam.",English,,"Discover the French approach to early child care with ""Early Child Care in France"" by Myriam David and Irène Lézine. 
"
74e59651-db7c-402a-964b-655ab87da801,"Qi huan kong long gong yuan  : gu sheng dai de shi jie / bian hui, Pan Zhihui. 奇幻恐龙公园 : 古生代的世界 / 编绘, 潘志辉. ",,Chinese,,"Journey to a fantastical prehistoric world in ""Qi huan kong long gong yuan,"" where dinosaurs roam and ancient secrets await.  
"
a9dff0bc-68b0-4274-ad36-fb7a6da3afd5,The fade / Chris Wooding. ,"Wooding, Chris, 1977-",English,,"**What happens when reality itself starts to fade? Dive into Chris Wooding's chilling thriller, ""The Fade.""** 
"
